path,regime,mask_ratio,mse,ssim,psnr,lpips
./CelebAMask-HQ/CelebA-HQ-img\21860.jpg,medium,0.1000518798828125,0.004976082593202591,0.9407009482383728,23.031124114990234,0.07831066846847534
./CelebAMask-HQ/CelebA-HQ-img\17266.jpg,medium,0.122039794921875,0.0035744186025112867,0.9434419870376587,24.467945098876953,0.06382684409618378
./CelebAMask-HQ/CelebA-HQ-img\15945.jpg,medium,0.1102447509765625,0.0015329805901274085,0.9563231468200684,28.14463233947754,0.04563628137111664
./CelebAMask-HQ/CelebA-HQ-img\19435.jpg,medium,0.113861083984375,0.00069746671942994,0.9394758939743042,31.56476402282715,0.04190228506922722
./CelebAMask-HQ/CelebA-HQ-img\22232.jpg,medium,0.115447998046875,0.0006744650891050696,0.9442579746246338,31.710405349731445,0.05624910444021225
./CelebAMask-HQ/CelebA-HQ-img\22223.jpg,medium,0.12054443359375,0.0010201313998550177,0.9437850713729858,29.91343879699707,0.05643134564161301
./CelebAMask-HQ/CelebA-HQ-img\9281.jpg,medium,0.1154327392578125,0.0030525634065270424,0.9441139101982117,25.153352737426758,0.0745825469493866
./CelebAMask-HQ/CelebA-HQ-img\3633.jpg,medium,0.093994140625,0.0009394909138791263,0.9622291326522827,30.271072387695312,0.05132640153169632
./CelebAMask-HQ/CelebA-HQ-img\14087.jpg,medium,0.1434326171875,0.0016441283514723182,0.9375245571136475,27.840641021728516,0.09180586040019989
./CelebAMask-HQ/CelebA-HQ-img\11310.jpg,medium,0.135955810546875,0.002330347429960966,0.9233476519584656,26.32579231262207,0.08765461295843124
./CelebAMask-HQ/CelebA-HQ-img\3729.jpg,medium,0.1234588623046875,0.0025025976356118917,0.9334248900413513,26.016088485717773,0.05969422310590744
./CelebAMask-HQ/CelebA-HQ-img\16788.jpg,medium,0.1404876708984375,0.0018949499353766441,0.9402759075164795,27.224021911621094,0.07529012858867645
./CelebAMask-HQ/CelebA-HQ-img\24737.jpg,medium,0.121368408203125,0.0006850012578070164,0.9498661756515503,31.643085479736328,0.09306904673576355
./CelebAMask-HQ/CelebA-HQ-img\7063.jpg,medium,0.104736328125,0.0036681664641946554,0.9393923282623291,24.35550880432129,0.07491828501224518
./CelebAMask-HQ/CelebA-HQ-img\8951.jpg,medium,0.147857666015625,0.0019630303140729666,0.9163718223571777,27.070728302001953,0.09798713028430939
./CelebAMask-HQ/CelebA-HQ-img\13571.jpg,medium,0.1171875,0.003816063981503248,0.9491521716117859,24.183841705322266,0.06531386077404022
./CelebAMask-HQ/CelebA-HQ-img\28631.jpg,medium,0.101165771484375,0.0022135244216769934,0.9478545188903809,26.549156188964844,0.054108452051877975
./CelebAMask-HQ/CelebA-HQ-img\28372.jpg,medium,0.1153564453125,0.0010674395598471165,0.9393391609191895,29.71656608581543,0.06194236874580383
./CelebAMask-HQ/CelebA-HQ-img\15914.jpg,medium,0.1376953125,0.002864229492843151,0.9402914047241211,25.429920196533203,0.04939964786171913
./CelebAMask-HQ/CelebA-HQ-img\13894.jpg,medium,0.1177825927734375,0.004129159729927778,0.9218704104423523,23.841381072998047,0.11316414922475815
./CelebAMask-HQ/CelebA-HQ-img\21690.jpg,medium,0.1186676025390625,0.00213036616332829,0.9525555372238159,26.715457916259766,0.04850566387176514
./CelebAMask-HQ/CelebA-HQ-img\14519.jpg,medium,0.1169281005859375,0.0023409752175211906,0.9346973299980164,26.3060302734375,0.07960691303014755
./CelebAMask-HQ/CelebA-HQ-img\8916.jpg,medium,0.09393310546875,0.000756790570449084,0.9460520148277283,31.210243225097656,0.060700349509716034
./CelebAMask-HQ/CelebA-HQ-img\2673.jpg,medium,0.1525726318359375,0.001109222648665309,0.9406505823135376,29.5498104095459,0.05344604328274727
